ID,Salary
SID10000,2483.1062
SID100030,3948.9792
SID100204,5662.875
SID100220,2564.8242
SID100230,2727.248
SID100289,3154.13
SID100340,2667.3848
SID100393,2156.0981
SID100395,5115.106
SID100441,3210.8354
SID100477,4749.1855
SID100546,2055.8792
SID10058,4774.4194
SID100610,4183.9443
SID10063,2252.3044
SID100822,2486.9731
SID100831,2451.3103
SID100966,3377.8408
SID101017,3399.8599
SID101252,5091.765
SID101283,2417.314
SID10136,2861.1064
SID101371,3529.5925
SID101455,2283.8335
SID10150,3281.7317
SID10155,2256.5408
SID101851,3625.4773
SID101934,1988.8458
SID102009,2088.9592
SID102163,3279.761
SID102172,2144.774
SID102376,3287.7466
SID10238,3133.1094
SID102594,3488.7686
SID102783,2221.1418
SID102858,3207.1318
SID103277,2980.2427
SID103302,3360.587
SID103306,2614.6797
SID103346,5441.089
SID103419,3098.2869
SID103606,2449.9832
SID103666,2414.575
SID103689,2325.832
SID103796,2147.3718
SID103858,2645.9756
SID103891,2401.496
SID10404,4980.589
SID104048,2565.9226
SID10406,8392.776
SID104206,3481.9624
SID10423,3162.3845
SID104579,3232.5203
SID104645,2963.2048
SID104714,2677.2456
SID104874,3509.1904
SID104928,2733.745
SID104934,2559.094
SID104969,1986.4269
SID104986,2261.8533
SID105104,2071.6
SID105162,2475.059
SID105400,2273.1167
SID10551,1950.4386
SID105678,3411.2937
SID105705,3485.955
SID106087,2901.4504
SID106101,2782.6836
SID106182,2470.5981
SID106198,2807.9016
SID106319,3395.7595
SID106381,1991.2352
SID106413,1924.6947
SID106746,3033.921
SID106899,2372.5676
SID106948,2384.9966
SID107113,3210.5989
SID107158,2594.9768
SID10716,3312.2578
SID107167,3289.4988
SID107186,2375.0151
SID107435,3486.7026
SID10752,4156.9023
SID107764,2877.9814
SID107805,2786.2114
SID108078,2651.8215
SID108110,3185.5945
SID108370,3212.1575
SID108437,2730.7402
SID108442,1928.4531
SID108535,1512.2258
SID10854,2502.663
SID108576,3847.6262
SID1086,4656.4053
SID108777,3931.1086
SID108786,3533.7646
SID108800,915.5801
SID108855,2857.8496
SID108874,2664.3396
SID108922,2983.8894
SID108969,1686.0902
SID109084,2991.2715
SID109281,2133.4976
SID10931,2723.2683
SID109386,2546.26
SID109762,2546.8735
SID10985,7197.732
SID109899,2053.2808
SID109961,3596.5984
SID110104,3948.0532
SID110128,3206.9956
SID110208,3254.5085
SID110272,3372.7034
SID110279,1775.8901
SID110463,3150.3013
SID110512,2972.8027
SID110565,3469.1829
SID110587,2773.1912
SID11084,3358.1357
SID110876,3443.8333
SID1109,1614.3464
SID110901,3306.035
SID110915,4098.5967
SID1110,2778.639
SID111029,3003.716
SID111274,3018.3179
SID111277,2964.6306
SID111550,2854.324
SID11156,4574.6523
SID111741,4526.2124
SID111822,2495.2544
SID111972,3494.677
SID112059,3748.4324
SID11235,2487.9666
SID112360,1484.7194
SID112483,2728.213
SID112620,2748.3257
SID112643,3244.1995
SID112783,1306.1116
SID11303,3684.041
SID113233,4878.114
SID113382,2608.0862
SID113486,2764.5376
SID113654,2463.5493
