iter	RMSE
0	1107.01965
1	1082.283697
2	1061.309057
3	1042.098001
4	1024.343443
5	1007.398445
6	992.6043741
7	979.0574356
8	966.0342451
9	954.8574939
10	944.6698644
11	935.7025102
12	927.113139
13	918.5781533
14	910.8017655
15	904.4716277
16	898.155077
17	892.7526451
18	887.5199879
19	882.5050745
20	878.0800756
21	874.5478487
22	870.637747
23	867.601022
24	864.6387795
25	861.5709661
26	858.8463473
27	855.9083261
28	853.3380932
29	851.2995939
30	849.2357077
31	847.1899144
32	845.3347634
33	843.4613978
34	841.0151058
35	838.8648067
36	836.841958
37	834.9716959
38	832.8959639
39	831.1692282
40	829.646889
41	828.4864753
42	826.8962058
43	825.4253544
44	824.4784657
45	823.2062904
46	822.0605569
47	821.2865496
48	819.8994886
49	818.3085314
50	817.2238759
51	815.9140649
52	814.8165728
53	813.7620827
54	812.6827814
55	811.9556532
56	810.9544619
57	810.3512583
58	809.5214133
59	808.6222844
60	808.0481854
61	807.3686723
62	806.3611177
63	805.6830006
64	804.7824724
65	804.1603479
66	803.3066743
67	802.4914684
68	802.0413521
69	800.5401421
70	799.7016531
71	799.1614707
72	798.6318937
73	798.0885428
74	797.4983541
75	796.8507352
76	796.2230112
77	795.6486721
78	794.9021941
79	794.3435697
80	793.6466665
81	792.9045686
82	792.4179059
83	792.1552388
84	791.7040742
85	791.2686158
86	790.8626127
87	790.4505129
88	789.3936386
89	788.8686413
90	788.4159338
91	787.9057499
92	787.6195083
93	787.014174
94	786.2540184
95	785.4586239
96	785.0231934
97	784.6721068
98	784.3189966
99	783.8766397
100	783.4135741
101	783.2637059
102	782.8380713
103	782.5797887
104	782.1862835
105	781.9988842
106	781.9334276
107	781.7818909
108	781.371103
109	781.108712
110	780.6381358
111	780.4022804
112	780.2191902
113	779.81244
114	779.4931826
115	778.8226079
116	778.670934
117	778.3317997
118	777.6718132
119	777.3949549
120	777.0158252
121	776.5035741
122	776.0736936
123	775.5288961
124	775.286026
125	774.8791669
126	774.3598357
127	773.8704198
128	773.6205644
129	773.0813917
130	772.7955913
131	772.6003218
132	771.9703615
133	771.5974596
134	771.0111302
135	770.582597
136	770.0244062
137	769.7208817
138	769.5057717
139	769.2065548
140	768.6963813
141	768.3959138
142	767.968971
143	767.2678568
144	767.0877491
145	766.901264
146	766.7180435
147	766.1688522
148	765.7577278
149	765.2741596
150	765.0773043
151	764.596985
152	764.2635485
153	764.0301931
154	763.9545556
155	763.6080922
156	763.0542644
157	762.6297285
158	762.1758355
159	761.8653819
160	761.5023668
161	761.1987249
162	760.6694821
163	760.4384537
164	760.0811411
165	759.8427791
166	759.6894599
167	759.2828564
168	758.8750101
169	758.4868536
170	758.3088092
171	758.1411934
172	757.9225464
173	757.5074845
174	757.2989873
175	757.0538259
176	756.7526331
177	756.3292967
178	756.1540054
179	755.9975176
180	755.8074431
181	755.6045535
182	755.3062394
183	755.2301532
184	755.0615575
185	754.9082719
186	754.5901805
187	754.1142185
188	753.8682957
189	753.6371564
190	753.3588705
191	753.157219
192	752.8432295
193	752.6071883
194	752.3832183
195	752.3678716
196	752.2458825
197	752.1600108
198	751.9365686
199	751.8005578
200	751.3252272
201	751.1161437
202	750.9678222
203	750.765753
204	750.1523199
205	749.9158852
206	749.7680163
207	749.3644594
208	748.9549917
209	748.8287336
210	748.1772443
211	748.0379927
212	747.5959587
213	747.1460905
214	746.8595954
215	746.7860154
216	746.6772362
217	746.4675876
218	746.3944144
219	746.0926315
220	745.5292171
221	745.0911796
222	744.8662932
223	744.7731837
224	744.6819443
225	744.1300733
226	743.9994424
227	743.9593253
228	743.8130969
229	743.5761308
230	743.2179088
231	743.0314902
232	742.8590521
233	742.7155254
234	742.3388636
235	742.2228801
236	741.9087195
237	741.637321
238	741.4549631
239	741.3971711
240	741.0969678
241	740.7387423
242	740.3291244
243	740.140352
244	740.0278421
245	739.81701
246	739.5981957
247	739.4376407
248	739.2532013
249	738.9013949
250	738.7998494
251	738.5953714
252	738.4728686
253	738.1252716
254	737.7440625
255	737.0953258
256	737.0739687
257	736.9707406
258	736.7714333
259	736.4831088
260	735.9392862
261	735.4948663
262	735.3205115
263	735.1337647
264	735.0150968
265	734.7604811
266	734.6501224
267	734.3156299
268	734.2307954
269	733.9417514
270	733.6398545
271	733.4456585
272	733.3093198
273	733.0596346
274	732.9675804
275	732.6381401
276	732.3885121
277	732.1615936
278	731.9499062
279	731.6526018
280	731.4825465
281	731.3338812
282	730.9180646
283	730.595411
284	730.5668847
285	730.3391163
286	730.2021586
287	730.0612216
288	729.7793272
289	729.4314349
290	729.4107657
291	729.2349433
292	729.1676393
293	728.8812992
294	728.7782165
295	728.4925364
296	728.1538723
297	727.7306033
298	727.5441808
299	727.4432373
300	727.3421453
301	727.0527615
302	726.8128717
303	726.7752422
304	726.6044264
305	726.4488256
306	726.2319643
307	726.1318705
308	725.8381996
309	725.5921837
310	725.3963106
311	725.0994069
312	724.8454896
313	724.6983608
314	724.6577794
315	724.2545502
316	724.052232
317	723.8767291
318	723.6633475
319	723.5826476
320	723.2714039
321	723.0838256
322	722.7258182
323	722.5113794
324	722.3055786
325	721.972213
326	721.7912235
327	721.7044559
328	721.4810667
329	720.9026901
330	720.6492722
331	720.4376013
332	720.1908536
333	720.0275148
334	719.8782913
335	719.6011818
336	719.397938
337	719.1986138
338	719.1115519
339	718.9061761
340	718.6962518
341	718.4301164
342	718.3006131
343	718.2155076
344	717.9155426
345	717.8311945
346	717.596099
347	717.1706767
348	717.0022015
349	716.9144942
350	716.7507291
351	716.675628
352	716.3897448
353	716.3150729
354	716.1822841
355	716.012084
356	715.749483
357	715.4389041
358	715.3981587
359	715.1939187
360	714.9543284
361	714.8619509
362	714.7343208
363	714.4936013
364	714.4291922
365	713.9974302
366	713.7136497
367	713.4950614
368	713.2863111
369	713.1874882
370	713.0261048
371	712.8084199
372	712.4456367
373	712.2193068
374	711.9336375
375	711.6498303
376	711.6021613
377	711.3253419
378	711.1998204
379	711.0519477
380	710.8155304
381	710.6516052
382	710.4875743
383	710.2859758
384	710.0222778
385	709.9586284
386	709.6051027
387	709.1871152
388	709.0600093
389	708.6139163
390	708.3535318
391	708.1326947
392	707.9871019
393	707.7347312
394	707.5407596
395	707.2694117
396	706.9341769
397	706.5245891
398	706.3662174
399	706.0479601
400	706.0070398
401	705.8508929
402	705.6163788
403	705.467277
404	705.198887
405	704.9336634
406	704.7650378
407	704.7492163
408	704.5688006
409	704.4184472
410	704.2453758
411	704.0533446
412	703.7991536
413	703.6786052
414	703.3924936
415	703.0942631
416	702.6932142
417	702.5802659
418	702.4642159
419	702.3149765
420	702.1817186
421	701.7753869
422	701.5846135
423	701.5177212
424	701.3241519
425	701.1988886
426	700.997941
427	700.7654649
428	700.6405324
429	700.5188335
430	700.165832
431	700.013081
432	699.801825
433	699.5749506
434	699.1310361
435	699.0827999
436	698.862238
437	698.7146149
438	698.5437108
439	698.3917186
440	698.1727272
441	697.8592363
442	697.6744546
443	697.6306106
444	697.5446323
445	697.2834346
446	697.0975374
447	696.8337526
448	696.5931426
449	696.4490425
450	696.1458294
451	695.9521182
452	695.7525994
453	695.491155
454	695.2886974
455	694.9325186
456	694.882958
457	694.5843961
458	694.4492742
459	694.3739539
460	694.2999794
461	694.0877171
462	693.9690882
463	693.8154335
464	693.6207316
465	693.4346168
466	693.2626136
467	693.1585226
468	693.0046082
469	692.9786998
470	692.8005753
471	692.5195325
472	692.4900703
473	692.3826218
474	692.1712926
475	691.8955619
476	691.8532033
477	691.769876
478	691.6250112
479	691.3771306
480	691.2609361
481	691.1706953
482	691.0349531
483	690.8774883
484	690.7665021
485	690.6688028
486	690.3791853
487	690.0451377
488	689.748063
489	689.5080312
490	689.320822
491	689.0173666
492	688.9915357
493	688.7479003
494	688.7091912
495	688.3777617
496	688.2342383
497	687.9992417
498	687.9691918
499	687.8819168
500	687.655566
501	687.3760627
502	686.9837036
503	686.8081126
504	686.5703437
505	686.2297908
506	686.0489742
507	685.7291483
508	685.4745996
509	685.462628
510	685.2470736
511	685.192937
512	685.0412585
513	684.9619249
514	684.840914
515	684.6475796
516	684.5850114
517	684.4375247
518	684.3198661
519	684.2264481
520	684.0629985
521	684.0434561
522	683.9598398
523	683.7328496
524	683.6290501
525	683.4554858
526	683.2478472
527	683.1249523
528	683.0521638
529	682.8421796
530	682.5946517
531	682.385488
532	682.3302517
533	682.2192811
534	682.1087765
535	682.0496726
536	681.8940636
537	681.8177439
538	681.606829
539	681.4944754
540	681.4026967
541	681.3312147
542	681.1945061
543	680.9800948
544	680.8318459
545	680.7835902
546	680.4949239
547	680.2587408
548	680.0563603
549	679.9671356
550	679.6918026
551	679.5238026
552	679.3894277
553	679.2961572
554	678.9730265
555	678.8486325
556	678.7097931
557	678.5103498
558	678.264026
559	678.1293589
560	677.9859426
561	677.9738854
562	677.9611633
563	677.7695993
564	677.6180108
565	677.5045724
566	677.4524112
567	677.1980377
568	677.0581104
569	676.9257592
570	676.750515
571	676.4972548
572	676.4870522
573	676.3658875
574	676.2917515
575	676.0166363
576	675.8262193
577	675.7226848
578	675.5512198
579	675.4052634
580	675.3574744
581	675.2300994
582	675.2026624
583	674.8231899
584	674.5572047
585	674.3848306
586	674.200233
587	673.9952353
588	673.9074712
589	673.7498704
590	673.6501862
591	673.5882237
592	673.5686858
593	673.5554097
594	673.4474032
595	673.3889119
596	673.2663026
597	673.1269225
598	673.0514731
599	672.8273692
600	672.7605912
601	672.6622449
602	672.2983687
603	672.0938886
604	671.9483625
605	671.7700186
606	671.7139822
607	671.648816
608	671.4529298
609	671.253569
610	670.9075631
611	670.7477907
612	670.7216692
613	670.6469229
614	670.5113907
615	670.4450768
616	670.3097283
617	670.0979983
618	669.9810908
619	669.8821423
620	669.8068563
621	669.6921918
622	669.5999787
623	669.4493411
624	669.381495
625	669.1833699
626	669.1109452
627	669.0336061
628	669.0148649
629	668.7962339
630	668.5961376
631	668.4969961
632	668.2466729
633	668.1763873
634	668.0380322
635	667.8479246
636	667.734014
637	667.6991631
638	667.5174634
639	667.4991387
640	667.2159868
641	667.0244443
642	666.866761
643	666.6411578
644	666.5633276
645	666.4766593
646	666.3002436
647	666.2016388
648	666.1845747
649	666.025043
650	665.8819472
651	665.7036147
652	665.539744
653	665.335218
654	665.3177194
655	665.2937883
656	665.1968187
657	665.092542
658	664.8683242
659	664.7785434
